ROT_i,ROT_j,a_ij
3d,5z,18.471396060908138
3d,7p,19.172914647887602
3d,1t,20.137158048455078
3d,5q,20.317454490817717
3d,1o,19.12617390478852
3d,7r,19.155516307931574
3d,2a,17.126322799254908
3d,4a,19.432384396609088
3d,0a,18.601682034573077
3d,#a,19.29040583562843
3d,4g,19.300247622544813
3d,6g,19.252250636145554
3d,8d,19.33341487917745
3d,4d,20.272809353393765
3d,6d,19.351998209001035
3d,2h,19.071754381641068
3d,4n,20.01357239111098
3d,0i,20.361054132215813
3d,6n,19.317917273565854
3d,6j,19.844134365022022
3d,2[,18.223142972055914
3d,4b,18.683814100853688
3d,0b,19.304491055225565
3d,4p,19.766596819041272
3d,6p,18.56650820521161
3d,4s,19.855153512142373
3d,2o,19.257877242810267
5d,1a,13.802649994212782
5d,1m,19.443052015030805
5d,1L,19.61017347404634
5d,&a,18.77467037995266
5d,7a,18.682084741560328
5d,3a,19.112029898379568
5d,9a,19.458113895400828
5d,1g,18.049398636296832
5d,7d,19.71145416297264
5d,3d,19.59468021098089
5d,5d,20.67737008230232
5d,1e,18.525542343564318
5d,1c,16.694927125726828
5d,1f,19.297274491974964
5d,5j,20.207743598739725
5d,1b,17.070256632938573
5d,1[,18.237642902033038
5d,3b,19.662911821547656
5d,1z,19.8067667086298
5d,5z,19.15771100961253
5d,7p,19.17235327728411
5d,1t,20.29264005591502
5d,5q,20.89997792994257
5d,1o,19.38709350989544
5d,7r,19.389771844623436
5d,2a,17.31571847993395
5d,4a,19.751021637717677
5d,0a,18.977934797277516
5d,#a,19.67568216066737
5d,4g,19.585878383972688
5d,6g,19.706029262069595
5d,8d,19.290635763649387
5d,4d,20.347861591207167
5d,6d,19.915630809379184
5d,2h,19.28511287807331
5d,4n,20.20157532632106
5d,0i,20.72198094357012
5d,6n,19.75983823710591
5d,6j,20.376971562211796
5d,2[,18.420492356747953
5d,4b,19.013104711061274
5d,0b,19.70310726450971
5d,4p,19.840603994761732
5d,6p,19.053882533335702
5d,4s,20.202893174508244
5d,2o,19.504548809485538
1e,1a,13.29197266025406
1e,1m,18.792099615808965
1e,1L,19.13661812583757
1e,&a,18.194291620080534
1e,7a,18.005452256696362
1e,3a,18.264069900845836
1e,9a,18.47517998447961
1e,1g,17.314331114006535
1e,7d,18.59633360027575
1e,3d,18.29193746708353
1e,5d,18.525542343564318
1e,1e,18.96073124354237
1e,1c,16.089256633565697
1e,1f,18.910988133922487
1e,5j,18.77902274768716
1e,1b,16.51492019834286
1e,1[,17.590025416172978
1e,3b,18.78596082765031
1e,1z,19.05955053805779
1e,5z,17.587795591312535
1e,7p,17.942203556669362
1e,1t,19.70263074552991
1e,5q,19.455351768749548
1e,1o,18.801673098445846
1e,7r,18.49566589734034
1e,2a,16.66011342230302
1e,4a,18.876195870074216
1e,0a,18.025468821422546
1e,#a,18.76904214190285
1e,4g,18.52370409763828
1e,6g,18.419668389202872
1e,8d,18.12276772801181
1e,4d,19.05105048246995
1e,6d,18.233672369978247
1e,2h,18.867797590367466
1e,4n,19.129199736518476
1e,0i,19.400507028652754
1e,6n,18.34743681909304
1e,6j,18.984690025360997
1e,2[,17.720428684599476
1e,4b,18.11995254084835
1e,0b,18.667656674023853
1e,4p,18.623695728043774
1e,6p,17.468606984699964
1e,4s,19.601374012968076
1e,2o,18.964149193132037
1c,1a,11.230880834221423
1c,1m,16.862634778128708
1c,1L,16.970317476232168
1c,&a,16.155139347567143
1c,7a,15.930647025663852
1c,3a,16.23371643108423
1c,9a,16.452992403931653
1c,1g,15.500598972087955
1c,7d,16.902674541530068
1c,3d,16.578611282836572
1c,5d,16.694927125726828
1c,1e,16.089256633565697
1c,1c,14.975138442580304
1c,1f,17.164724876631514
1c,5j,16.943311963737408
1c,1b,14.471859320394785
1c,1[,15.648695385844107
1c,3b,16.782244923243354
1c,1z,17.172449858958654
1c,5z,15.68389562834236
1c,7p,16.24158024691883
1c,1t,18.100417926206838
1c,5q,17.623070936035365
1c,1o,16.909855768163702
1c,7r,16.82909860355631
1c,2a,14.683725870473303
1c,4a,16.866708217307615
1c,0a,16.011828426803852
1c,#a,16.722017763781928
1c,4g,16.605586563982712
1c,6g,16.52795084751044
1c,8d,16.402897699852677
1c,4d,17.324907787846126
1c,6d,16.425535623056636
1c,2h,16.826636645750796
1c,4n,17.538146963495592
1c,0i,17.691843376812
1c,6n,16.595632593401856
1c,6j,17.147761999599272
1c,2[,15.773980770876866
1c,4b,16.112008484326182
1c,0b,16.684443677555965
1c,4p,16.902324880159647
1c,6p,15.662274028921573
1c,4s,17.427167803741945
1c,2o,17.03517077768048
1f,1a,13.882091736661115
1f,1m,19.46655485999105
1f,1L,19.65619826442411
1f,&a,18.793539708025357
1f,7a,18.583318681415754
1f,3a,18.874296894843273
1f,9a,19.090583966245084
1f,1g,18.13018845756932
1f,7d,19.478384957029213
1f,3d,19.14871548423905
1f,5d,19.297274491974964
1f,1e,18.910988133922487
1f,1c,17.164724876631514
1f,1f,20.135870451351515
1f,5j,19.56055018977236
1f,1b,17.117259831327733
1f,1[,18.25392187388519
1f,3b,19.412861347484906
1f,1z,19.805181309578106
1f,5z,18.298810503082574
1f,7p,18.799569729133783
1f,1t,20.621910170199367
1f,5q,20.234197782289776
1f,1o,19.50470399790856
1f,7r,19.38368167246932
1f,2a,17.315007427641312
1f,4a,19.504303587888867
1f,0a,18.65019571748417
1f,#a,19.366161000228555
1f,4g,19.230212556000613
1f,6g,19.13446439507522
1f,8d,18.98240081279211
1f,4d,19.89109946824229
1f,6d,19.021357963423505
1f,2h,19.48000102679095
1f,4n,20.042410955639028
1f,0i,20.233235208140265
1f,6n,19.166546327715608
1f,6j,19.760027174338557
1f,2[,18.392152121387227
1f,4b,18.746537083243094
1f,0b,19.31499334999778
1f,4p,19.466012655109235
1f,6p,18.25474564882232
1f,4s,20.125631429749923
1f,2o,19.653806238722453
5j,1a,13.923450579000274
5j,1m,19.56238498515016
5j,1L,19.747721037836328
5j,&a,18.882601116525823
5j,7a,18.788810151982165
5j,3a,19.19758721387077
5j,9a,19.529350408990094
5j,1g,18.156761349976406
5j,7d,19.80149685524284
5j,3d,19.64449683252006
5j,5d,20.207743598739725
5j,1e,18.77902274768716
5j,1c,16.943311963737408
5j,1f,19.56055018977236
5j,5j,21.012339689039
5j,1b,17.196948751738304
5j,1[,18.353753219963558
5j,3b,19.75394737747561
5j,1z,19.91622412577821
5j,5z,19.08070540849225
5j,7p,19.239408373071228
5j,1t,20.52828551063979
5j,5q,21.382839950524566
5j,1o,19.650391787748333
5j,7r,19.755896744743872
5j,2a,17.444578523732538
5j,4a,19.859914623876566
5j,0a,19.06487241735102
5j,#a,19.746853610138977
5j,4g,19.6602986902781
5j,6g,19.758045804167853
5j,8d,19.39302162643654
5j,4d,20.4138183300571
5j,6d,19.84925920674306
5j,2h,19.510681744840657
5j,4n,20.50374166233065
5j,0i,21.000659216807968
5j,6n,20.129498658021475
5j,6j,20.876449394860586
5j,2[,18.549422986571372
5j,4b,19.109919074911915
5j,0b,19.79848422925578
5j,4p,19.92932319348346
5j,6p,19.049172834033662
5j,4s,20.47281898146852
5j,2o,19.78488167311608
1b,1a,12.280554022039777
1b,1m,17.777862894261037
1b,1L,17.947607739696604
1b,&a,17.164743378117414
1b,7a,16.8475656857226
1b,3a,17.02245865032477
1b,9a,17.159927864774268
1b,1g,15.945113771909922
1b,7d,17.1580412040446
1b,3d,16.861864177047046
1b,5d,17.070256632938573
1b,1e,16.51492019834286
1b,1c,14.471859320394785
1b,1f,17.117259831327733
1b,5j,17.196948751738304
1b,1b,15.96075267910693
1b,1[,16.825401949841652
1b,3b,17.64010002997478
1b,1z,17.832103728558952
1b,5z,16.198288758502855
1b,7p,16.5676953727361
1b,1t,18.184456532787017
1b,5q,17.904721635007498
1b,1o,17.294144370447313
1b,7r,16.898821836622005
1b,2a,15.544923942139704
1b,4a,17.61651294097925
1b,0a,16.72096047908434
1b,#a,17.479162821734064
1b,4g,17.174202554244552
1b,6g,17.056025010250753
1b,8d,16.695961938454232
1b,4d,17.641232352337898
1b,6d,16.79354285981167
1b,2h,17.382579482846058
1b,4n,17.590535291427962
1b,0i,17.927542500285536
1b,6n,16.832205151092147
1b,6j,17.430007429596802
1b,2[,16.72653737856916
1b,4b,16.943210238777006
1b,0b,17.38418807730924
1b,4p,17.25766675883454
1b,6p,16.063059253740807
1b,4s,17.996538020483715
1b,2o,17.41771054608664
1[,1a,13.384186577586815
1[,1m,19.04465309293944
1[,1L,19.006108516345535
1[,&a,18.29571723669956
1[,7a,17.963509464888435
1[,3a,18.16733864799137
1[,9a,18.31121530580502
1[,1g,17.096594413088127
1[,7d,18.33366765391672
1[,3d,18.042633869867934
1[,5d,18.237642902033038
1[,1e,17.590025416172978
1[,1c,15.648695385844107
1[,1f,18.25392187388519
1[,5j,18.353753219963558
1[,1b,16.825401949841652
1[,1[,18.358378953921164
1[,3b,18.79760031895104
1[,1z,18.967791445416626
1[,5z,17.360257471266586
1[,7p,17.756465977972557
1[,1t,19.35888932862769
1[,5q,19.062231780209558
1[,1o,18.476343485291192
1[,7r,18.0718484103446
1[,2a,16.728707807043012
1[,4a,18.776828469859282
1[,0a,17.872734636043376
1[,#a,18.617534183715588
1[,4g,18.33906986568713
1[,6g,18.236725555720593
1[,8d,17.87551182141016
1[,4d,18.828136036990728
1[,6d,17.966913645374447
1[,2h,18.53734530706013
1[,4n,18.77792437889865
1[,0i,19.123844158206037
1[,6n,18.011967428922073
1[,6j,18.591402642536558
1[,2[,17.948531793815054
1[,4b,18.09963975817054
1[,0b,18.544911605714923
1[,4p,18.4491637451545
1[,6p,17.23980726631495
1[,4s,19.102771026444305
1[,2o,18.58790522662221
3b,1a,14.306613356084672
3b,1m,19.895829081073234
3b,1L,20.12744815354664
3b,&a,19.30415089916887
3b,7a,19.255484405643593
3b,3a,19.676037621981163
3b,9a,19.902353316043165
3b,1g,18.20575745011234
3b,7d,19.562019469944005
3b,3d,19.333734318819076
3b,5d,19.662911821547656
3b,1e,18.78596082765031
3b,1c,16.782244923243354
3b,1f,19.412861347484906
3b,5j,19.75394737747561
3b,1b,17.64010002997478
3b,1[,18.79760031895104
3b,3b,20.58926281479205
3b,1z,20.08415884636302
3b,5z,18.903690480698298
3b,7p,19.02271612055033
3b,1t,20.477294128884235
3b,5q,20.471971099743453
3b,1o,19.640681634169606
3b,7r,19.319762744900263
3b,2a,17.744684136925308
3b,4a,20.21976722357989
3b,0a,19.395156310647174
3b,#a,20.15231675648752
3b,4g,19.757285442065466
3b,6g,19.722526782671085
3b,8d,19.127151796431008
3b,4d,20.132660337091373
3b,6d,19.363622302665625
3b,2h,19.643904021836875
3b,4n,20.046261734848596
3b,0i,20.475764030861114
3b,6n,19.391343611704926
3b,6j,19.992037833408478
3b,2[,18.896079352170123
3b,4b,19.657549955184802
3b,0b,20.131848069884654
3b,4p,19.722379539849662
3b,6p,18.645944729344095
3b,4s,20.51171279954709
3b,2o,19.756315105966927
1z,1a,14.514475428747605
1z,1m,20.08536912416417
1z,1L,20.240628186578736
1z,&a,19.43916659771811
1z,7a,19.208241799090512
1z,3a,19.49177771663332
1z,9a,19.673708950972788
1z,1g,18.78974670738158
1z,7d,19.99121081118453
1z,3d,19.66573279234576
1z,5d,19.8067667086298
1z,1e,19.05955053805779
1z,1c,17.172449858958654
1z,1f,19.805181309578106
1z,5j,19.91622412577821
1z,1b,17.832103728558952
1z,1[,18.967791445416626
1z,3b,20.08415884636302
1z,1z,20.827768412511027
1z,5z,18.88265372148476
1z,7p,19.384862068141512
1z,1t,20.85192210141151
1z,5q,20.62864732406488
1z,1o,19.79387647999105
1z,7r,19.59404183416821
1z,2a,17.919893242875727
1z,4a,20.090828948571037
1z,0a,19.236162280097968
1z,#a,19.97186628684833
1z,4g,19.819017236106014
1z,6g,19.683103804024046
1z,8d,19.489190220893448
1z,4d,20.41025922836995
1z,6d,19.53034351228323
1z,2h,19.805222017070992
1z,4n,20.31522222679083
1z,0i,20.61796962575097
1z,6n,19.541579122781734
1z,6j,20.133524697160038
1z,2[,19.059505200539867
1z,4b,19.401696676781725
1z,0b,19.921619986633228
1z,4p,20.036745783236455
1z,6p,18.800251441340908
1z,4s,20.522513001267072
1z,2o,19.92158466457116
5z,1a,12.901553614172402
5z,1m,18.521995480005764
5z,1L,18.722110520111368
5z,&a,17.89019301524685
5z,7a,17.82280454959612
5z,3a,18.294697712353233
5z,9a,18.696635584495198
5z,1g,17.062354367227368
5z,7d,18.612169569545763
5z,3d,18.471396060908138
5z,5d,19.15771100961253
5z,1e,17.587795591312535
5z,1c,15.68389562834236
5z,1f,18.298810503082574
5z,5j,19.08070540849225
5z,1b,16.198288758502855
5z,1[,17.360257471266586
5z,3b,18.903690480698298
5z,1z,18.88265372148476
5z,5z,19.147317199122785
5z,7p,18.122908096552923
5z,1t,19.334449861932036
5z,5q,19.856660736258945
5z,1o,18.43737008097508
5z,7r,18.340888430187093
5z,2a,16.392280727826808
5z,4a,18.9027723972524
5z,0a,18.174850447616674
5z,#a,18.90868036371173
5z,4g,18.70979378453867
5z,6g,18.88049099196939
5z,8d,18.192679087117146
5z,4d,19.262361836930584
5z,6d,18.714897236297237
5z,2h,18.353463873567023
5z,4n,19.122766503645565
5z,0i,19.665180700987946
5z,6n,18.667995528280372
5z,6j,19.282145251721925
5z,2[,17.52152833183543
5z,4b,18.248837078048037
5z,0b,18.97944556317711
5z,4p,18.804165911448397
5z,6p,18.02570994748746
5z,4s,19.37222745634848
5z,2o,18.555221182485965
7p,1a,13.271346285591292
7p,1m,18.929091562860066
7p,1L,19.041058017799802
7p,&a,18.215541286554924
7p,7a,18.063256546657005
7p,3a,18.429528155896048
7p,9a,18.682602836075528
7p,1g,17.649395887981427
7p,7d,19.395685129291877
7p,3d,19.172914647887602
7p,5d,19.17235327728411
7p,1e,17.942203556669362
7p,1c,16.24158024691883
7p,1f,18.799569729133783
7p,5j,19.239408373071228
7p,1b,16.5676953727361
7p,1[,17.756465977972557
7p,3b,19.02271612055033
7p,1z,19.384862068141512
7p,5z,18.122908096552923
7p,7p,19.11983337130713
7p,1t,19.857576328862933
7p,5q,19.963803889540074
7p,1o,18.82891803913507
7p,7r,18.85088883030681
7p,2a,16.796102554711315
7p,4a,19.082686168898512
7p,0a,18.24452924556304
7p,#a,18.931367624989086
7p,4g,18.913999608579736
7p,6g,18.87726837763432
7p,8d,18.908631285759565
7p,4d,19.841415473716513
7p,6d,18.9253704910902
7p,2h,18.74187425697821
7p,4n,19.646684656075262
7p,0i,19.986104451028638
7p,6n,18.9215040690765
7p,6j,19.450325622759266
7p,2[,17.932652663902868
7p,4b,18.36712293244749
7p,0b,18.978651931252912
7p,4p,19.517163033701912
7p,6p,18.220689875412255
7p,4s,19.524571786557825
7p,2o,18.956089605781575
1t,1a,14.870622365533455
1t,1m,20.510528912999998
1t,1L,20.613007917767234
1t,&a,19.796947249789838
1t,7a,19.578210213028868
1t,3a,19.88022909246858
1t,9a,20.096697535876263
1t,1g,19.057977217049675
1t,7d,20.441911887591647
1t,3d,20.137158048455078
1t,5d,20.29264005591502
1t,1e,19.70263074552991
1t,1c,18.100417926206838
1t,1f,20.621910170199367
1t,5j,20.52828551063979
1t,1b,18.184456532787017
1t,1[,19.35888932862769
1t,3b,20.477294128884235
1t,1z,20.85192210141151
1t,5z,19.334449861932036
1t,7p,19.857576328862933
1t,1t,22.06366444342221
1t,5q,21.245780360418767
1t,1o,20.620573699048386
1t,7r,20.43765992477404
1t,2a,18.32876908878449
1t,4a,20.517308116130494
1t,0a,19.657574956925824
1t,#a,20.36571142007023
1t,4g,20.223420461703792
