,h_noh2_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
0,aa,0.00020560896848407446,a,a,0.771212867224684,0.771212867224684,9.009116106594501
1,ab,0.0004513185048167196,a,b,0.771212867224684,0.771212867224684,8.222918950902512
2,ba,0.00045131850481671976,b,a,0.22878713277531595,0.22878713277531595,10.653263766467203
3,bb,0.0004790630605928777,b,b,0.22878713277531595,0.22878713277531595,10.593604836567525
