,h_noh_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
0,aa,0.00012002806292275088,a,a,0.7610372558673888,0.7610372558673888,9.573930916547152
1,ab,0.00042279066661469106,a,b,0.7610372558673888,0.7610372558673888,8.314779311104038
2,ba,0.00042279066661469106,b,a,0.23896274413261123,0.23896274413261123,10.631528622373697
3,bb,0.0004749771910823482,b,b,0.23896274413261123,0.23896274413261123,10.515139016840301
